Day,Number of images,Number of organoids,Metabolites match,Metabolites don't match,Metabolite Data Available,Number stitched,Number split,Survey 5-0,Survey 4-1,Survey 3-2,Survey 2-3,Survey 1-4,Survey 0-5,Survey 5-0 (BA1),Survey 4-1 (BA1),Survey 3-2 (BA1),Survey 2-3 (BA1),Survey 1-4 (BA1),Survey 0-5 (BA1),Survey 5-0 (BA2),Survey 4-1 (BA2),Survey 3-2 (BA2),Survey 2-3 (BA2),Survey 1-4 (BA2),Survey 0-5 (BA2),Survey 5-0 (BA3),Survey 4-1 (BA3),Survey 3-2 (BA3),Survey 2-3 (BA3),Survey 1-4 (BA3),Survey 0-5 (BA3),Survey 5-0 (BA4),Survey 4-1 (BA4),Survey 3-2 (BA4),Survey 2-3 (BA4),Survey 1-4 (BA4),Survey 0-5 (BA4),BA1 Total,BA2 Total,BA3 Total,BA4 Total
Dy03,3886,475,2246,28,379,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,187,96,96
Dy06,3886,475,2250,24,379,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,187,96,96
Dy08,2078,473,2231,37,378,473,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,187,95,96
Dy10,2097,470,2246,16,377,470,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,187,93,96
Dy13,2039,467,2228,16,374,467,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,184,93,96
Dy15,2021,462,2218,8,371,462,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,181,91,96
Dy17,2203,461,2213,13,371,461,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,180,90,97
Dy20,470,94,0,0,0,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
Dy21,1765,372,1680,12,282,372,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,90,97
Dy24,1872,475,2297,13,385,475,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,194,90,97
Dy28,2268,474,2294,10,384,474,474,8,4,7,2,3,3,3,0,0,1,2,0,4,4,5,0,0,2,0,0,0,0,0,0,1,0,2,1,1,1,94,193,90,97
Dy30,2238,470,2265,15,380,470,470,125,79,38,39,52,37,47,26,9,5,3,2,65,37,18,22,23,17,0,0,0,0,0,0,13,16,11,12,26,18,93,190,90,97
