metric,algo,mean_over_days,day_no,value
f1,overlay/vit,0.8326745804428022,3,0.8558994197292069
f1,overlay/vit,0.8326745804428022,6,0.7958333333333334
f1,overlay/vit,0.8326745804428022,8,0.7630434782608695
f1,overlay/vit,0.8326745804428022,10,0.7994676131322094
f1,overlay/vit,0.8326745804428022,13,0.8408268733850129
f1,overlay/vit,0.8326745804428022,15,0.7836363636363637
f1,overlay/vit,0.8326745804428022,17,0.8146341463414635
f1,overlay/vit,0.8326745804428022,20,0.8640826873385012
f1,overlay/vit,0.8326745804428022,24,0.8247863247863247
f1,overlay/vit,0.8326745804428022,28,0.9231884057971014
f1,overlay/vit,0.8326745804428022,30,0.8940217391304348
f1,overlay/resnet,0.8258772261834418,3,0.7866531850353893
f1,overlay/resnet,0.8258772261834418,6,0.7902439024390244
f1,overlay/resnet,0.8258772261834418,8,0.7902439024390244
f1,overlay/resnet,0.8258772261834418,10,0.7614634146341464
f1,overlay/resnet,0.8258772261834418,13,0.84
f1,overlay/resnet,0.8258772261834418,15,0.7278270509977827
f1,overlay/resnet,0.8258772261834418,17,0.84
f1,overlay/resnet,0.8258772261834418,20,0.8863049095607235
f1,overlay/resnet,0.8258772261834418,24,0.8717948717948718
f1,overlay/resnet,0.8258772261834418,28,0.9085271317829458
f1,overlay/resnet,0.8258772261834418,30,0.8815911193339501
f1,overlay/cnn,0.8257148741339173,3,0.7426556991774383
f1,overlay/cnn,0.8257148741339173,6,0.8292682926829268
f1,overlay/cnn,0.8257148741339173,8,0.7916666666666667
f1,overlay/cnn,0.8257148741339173,10,0.7768549280177187
f1,overlay/cnn,0.8257148741339173,13,0.7949999999999999
f1,overlay/cnn,0.8257148741339173,15,0.8158333333333333
f1,overlay/cnn,0.8257148741339173,17,0.8200000000000001
f1,overlay/cnn,0.8257148741339173,20,0.9231884057971014
f1,overlay/cnn,0.8257148741339173,24,0.8146341463414635
f1,overlay/cnn,0.8257148741339173,28,0.8704318936877076
f1,overlay/cnn,0.8257148741339173,30,0.9033302497687326
