Model_ID,Backbone,Input_Mode,Fusion_Strategy,Use_Metabolites,Day,Day_No,Test_Accuracy,Test_F1,Test_Recall,Test_Precision,Test_Specificity,Test_ROC_AUC,TP,FP,TN,FN
resnet_rgb_concat,resnet,rgb,concat,True,Dy03,3,0.6486486486486487,0.7636363636363637,0.6774193548387096,0.875,0.5,0.6344086021505376,21,3,3,10
resnet_rgb_concat,resnet,rgb,concat,True,Dy06,6,0.5675675675675675,0.6923076923076923,0.5806451612903226,0.8571428571428571,0.5,0.6075268817204301,18,3,3,13
resnet_rgb_concat,resnet,rgb,concat,True,Dy08,8,0.6486486486486487,0.7636363636363637,0.6774193548387096,0.875,0.5,0.6827956989247312,21,3,3,10
resnet_rgb_concat,resnet,rgb,concat,True,Dy10,10,0.5135135135135135,0.64,0.5161290322580645,0.8421052631578947,0.5,0.4516129032258065,16,3,3,15
resnet_rgb_concat,resnet,rgb,concat,True,Dy13,13,0.6756756756756757,0.7777777777777778,0.6774193548387096,0.9130434782608695,0.6666666666666666,0.6881720430107527,21,2,4,10
resnet_rgb_concat,resnet,rgb,concat,True,Dy15,15,0.6486486486486487,0.7636363636363637,0.6774193548387096,0.875,0.5,0.6559139784946236,21,3,3,10
resnet_rgb_concat,resnet,rgb,concat,True,Dy17,17,0.6756756756756757,0.7931034482758621,0.7419354838709677,0.8518518518518519,0.3333333333333333,0.6505376344086021,23,4,2,8
resnet_rgb_concat,resnet,rgb,concat,True,Dy20_5,20,0.68,0.7647058823529411,0.65,0.9285714285714286,0.8,0.77,13,1,4,7
resnet_rgb_concat,resnet,rgb,concat,True,Dy24,24,0.7674418604651163,0.8387096774193549,0.7647058823529411,0.9285714285714286,0.7777777777777778,0.8856209150326797,26,2,7,8
resnet_rgb_concat,resnet,rgb,concat,True,Dy28,28,0.7954545454545454,0.8615384615384616,0.8,0.9333333333333333,0.7777777777777778,0.8253968253968255,28,2,7,7
resnet_rgb_concat,resnet,rgb,concat,True,Dy30,30,0.7045454545454546,0.7936507936507936,0.7142857142857143,0.8928571428571429,0.6666666666666666,0.7968253968253969,25,3,6,10
