well,split_onset_day,days_tracked,timeline_days
BA2_96_1_C1,Dy28,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_C1,Dy28,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_D10,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_D10,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_E1,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_E1,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_E7,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_E7,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_E8,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_1_E8,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_B3,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_B3,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_B5,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_B5,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_B8,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_B8,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_C8,Dy28,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_C8,Dy28,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_D12,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_D12,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_D5,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_D5,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_D7,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_D7,Dy21,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_E3,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA2_96_2_E3,Dy24,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA4_96_1_C12,Dy17,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
BA4_96_1_C12,Dy17,11,"Dy03,Dy06,Dy08,Dy10,Dy13,Dy15,Dy17,Dy21,Dy24,Dy28,Dy30"
