feature,importance
PyruvateGlo_concentration_uM,223
img_pca_2,193
GlucoseGlo_concentration_uM,175
PyruvateGlo_growth,167
img_pca_6,165
glucose_growth,161
img_pca_9,159
img_pca_10,158
LactateGlo_growth,152
img_pca_11,139
img_pca_4,135
glutamate_growth,128
GlutamateGlo_concentration_uM,126
img_pca_0,125
img_pca_8,122
LactateGlo_concentration_uM,119
img_pca_1,118
img_pca_7,116
img_pca_5,101
img_pca_3,92
glucose_growth_accel,0
glutamate_growth_accel,0
MalateGlo_growth,0
MalateGlo_concentration_uM,0
